,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
457,Fukue,JP,32.6881,128.8419,79.63,80,100,16.75,overcast clouds
458,Amot,NO,59.5714,7.9877,58.5,76,100,2.1,overcast clouds
459,Kyzyl-Suu,KG,42.3414,78.0056,66.76,25,0,6.73,clear sky
460,Greenwood,US,34.1668,-82.1165,90.5,67,20,5.75,few clouds
461,Lubao,PH,14.9167,120.55,82.47,87,100,11.56,light rain
462,Igarka,RU,67.4667,86.5833,53.58,95,66,4.21,broken clouds
463,Tautira,PF,-17.7333,-149.15,82.42,68,0,9.62,clear sky
464,Tashtagol,RU,52.7657,87.8894,58.77,96,95,2.95,overcast clouds
465,Tura,IN,25.5198,90.2201,75.09,95,100,4.79,overcast clouds
466,Kaeo,NZ,-35.1,173.7833,60.33,96,33,9.73,scattered clouds
467,Kalengwa,ZM,-13.4659,25.0027,48.87,55,0,5.59,clear sky
468,Hulan,CN,45.9833,126.6,75.31,93,100,8.9,overcast clouds
469,Alihe,CN,50.5667,123.7167,60.94,87,97,2.64,overcast clouds
470,Ribeira Grande,PT,38.5167,-28.7,70.45,82,25,14.34,scattered clouds
471,Mudgee,AU,-32.5943,149.5871,46.62,76,90,5.75,overcast clouds
472,Emerald,AU,-23.5333,148.1667,50.99,47,28,8.05,scattered clouds
473,Nasirabad,IN,26.3,74.7333,78.71,85,99,13.98,overcast clouds
474,Alofi,NU,-19.0595,-169.9187,80.49,78,8,4.61,clear sky
475,Hasaki,JP,35.7333,140.8333,77.29,75,18,17.52,few clouds
476,Moron,AR,-34.6534,-58.6198,56.95,96,98,5.01,overcast clouds
477,Katsuura,JP,35.1333,140.3,82.11,78,40,14.72,scattered clouds
478,Vardo,NO,70.3705,31.1107,46.6,79,99,20.07,overcast clouds
479,Bahia Blanca,AR,-38.7196,-62.2724,50.7,41,0,6.53,clear sky
480,Itarema,BR,-2.9248,-39.9167,78.4,76,19,14.76,few clouds
481,Palmer,US,42.1584,-72.3287,79.32,77,90,1.01,overcast clouds
482,Kyabe,TD,9.4515,18.9449,72.07,95,100,3.98,light rain
483,Binga,ZW,-17.6203,27.3414,56.8,50,3,5.57,clear sky
484,Benbrook,US,32.6732,-97.4606,102.88,38,20,1.01,few clouds
485,Boa Vista,BR,2.8197,-60.6733,82.38,78,90,12.66,thunderstorm with light rain
486,Gizo,SB,-8.103,156.8419,81.63,77,19,7.14,few clouds
487,Galesong,ID,-5.3166,119.3661,66.22,65,40,5.53,scattered clouds
488,Baglung,NP,28.2719,83.5898,71.67,97,100,1.54,overcast clouds
489,Upata,VE,8.0086,-62.3989,72.19,97,100,3.98,overcast clouds
490,Mosquera,CO,4.7059,-74.2302,59.09,82,85,6.91,overcast clouds
491,Beringovskiy,RU,63.05,179.3167,51.26,91,100,4.41,overcast clouds
492,Nantucket,US,41.2835,-70.0995,73.51,88,90,13.8,overcast clouds
493,Prado,BR,-17.3411,-39.2208,70.07,79,10,8.86,clear sky
494,Manta,EC,-0.95,-80.7333,76.78,73,75,12.66,broken clouds
495,Mugla,TR,37.2303,28.3557,68.67,61,16,5.23,few clouds
496,Great Falls,US,47.5002,-111.3008,92.66,12,1,5.01,clear sky
497,Thinadhoo,MV,0.5333,72.9333,81.1,72,78,1.45,broken clouds
498,Zhigansk,RU,66.7697,123.3711,62.74,63,29,9.22,scattered clouds
499,Khaniotis,GR,39.9991,23.58,81.5,59,0,3.15,clear sky
500,Rundu,NA,-17.9333,19.7667,52.5,53,0,6.85,clear sky
501,Smithers,CA,54.7804,-127.1743,61.12,63,40,2.3,light rain
502,Lincoln,US,40.8,-96.667,90.66,48,1,1.99,clear sky
503,Tagusao,PH,9.1924,117.8141,81.37,84,63,11.14,broken clouds
504,Sitka,US,57.0531,-135.33,57.09,82,75,4.61,light rain
505,Shangrao,CN,28.4532,117.9686,75.72,95,100,9.98,overcast clouds
506,Parana,AR,-31.732,-60.5238,59.58,72,24,5.75,few clouds
507,Serov,RU,59.6033,60.5787,52.03,65,100,5.46,overcast clouds
508,Ucluelet,CA,48.9329,-125.5528,85.05,85,8,11.16,clear sky
509,Kirundo,BI,-2.5833,30.1667,70.57,41,100,5.21,overcast clouds
510,Agadez,NE,19.75,10.25,90.64,15,90,9.69,overcast clouds
511,Ha Tinh,VN,18.3333,105.9,77.88,87,100,8.63,overcast clouds
512,Soyalo,MX,16.9,-92.9167,76.1,90,77,3.78,broken clouds
513,Richards Bay,ZA,-28.783,32.0377,56.41,85,0,6.42,clear sky
514,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,90,0,17.27,clear sky
515,Maltahohe,NA,-24.8333,16.9833,50.2,37,71,9.48,broken clouds
516,Xiongzhou,CN,25.1167,114.3,77.47,87,86,0.38,overcast clouds
517,Cooma,AU,-36.2333,149.1333,40.77,70,21,6.91,few clouds
518,Chalus,IR,36.655,51.4204,80.06,89,75,0.0,broken clouds
519,Merke,KZ,42.8728,73.1786,78.85,25,0,6.51,clear sky
520,Woodward,US,36.4337,-99.3904,96.03,40,75,11.5,broken clouds
521,Chiredzi,ZW,-21.05,31.6667,52.41,57,16,4.32,few clouds
522,Berlevag,NO,70.8578,29.0864,44.55,87,75,21.85,broken clouds
523,Kudat,MY,6.8837,116.8477,82.33,89,20,4.61,few clouds
524,Barra Patuca,HN,15.8,-84.2833,83.25,68,47,6.71,scattered clouds
525,Port Macquarie,AU,-31.4333,152.9167,51.89,61,0,6.73,clear sky
526,Thanh Hoa,VN,19.8,105.7667,77.4,95,98,3.96,overcast clouds
527,Atambua,ID,-9.1061,124.8925,65.86,75,50,4.45,scattered clouds
528,Bilma,NE,18.6853,12.9164,78.6,68,97,10.71,overcast clouds
529,Curuca,BR,-0.7289,-47.8481,75.97,88,78,5.3,broken clouds
530,Ceres,US,37.5949,-120.9577,107.51,19,1,12.66,clear sky
531,Brae,GB,60.3964,-1.353,57.11,89,3,4.56,clear sky
532,Asau,RO,46.4333,26.4,65.32,83,47,4.09,scattered clouds
533,Canaries,ES,28.0,-15.5,66.16,60,20,25.32,few clouds
534,Kavaratti,IN,10.5669,72.642,80.78,78,100,20.42,overcast clouds
535,Panguipulli,CL,-39.6333,-72.3333,49.71,97,90,2.89,overcast clouds
536,Gawler,AU,-34.6,138.7333,53.11,88,21,10.98,few clouds
537,Zhanaozen,KZ,43.3,52.8,83.21,29,2,17.36,clear sky
538,Mazatlan,MX,23.2167,-106.4167,89.56,78,20,7.0,few clouds
539,Teahupoo,PF,-17.8333,-149.2667,76.96,67,0,10.27,clear sky
540,Palu,ID,-0.8917,119.8707,73.13,93,36,3.27,scattered clouds
541,Champerico,GT,14.3,-91.9167,86.34,71,24,6.33,few clouds
542,Kysyl-Syr,RU,63.8986,122.7617,68.58,61,66,6.53,broken clouds
543,Dawei,MM,14.0833,98.2,75.96,94,100,4.38,heavy intensity rain
544,Golfito,CR,8.639,-83.166,76.03,92,100,2.89,overcast clouds
545,La Plata,AR,-34.9215,-57.9545,57.02,93,94,8.66,overcast clouds
546,Wilmington,US,34.2257,-77.9447,85.95,74,40,9.22,scattered clouds
547,Bezhanitsy,RU,56.9767,29.8907,59.67,70,6,3.91,clear sky
548,Mahendragarh,IN,28.2833,76.15,88.61,63,99,7.7,heavy intensity rain
549,Sibu,MY,2.3,111.8167,77.31,88,20,1.99,few clouds
550,Waipawa,NZ,-41.4122,175.5153,54.03,89,100,15.35,moderate rain
551,Alyangula,AU,-13.8483,136.4192,57.07,100,92,0.0,overcast clouds
552,Busembatia,UG,0.7697,33.6131,64.09,74,75,5.64,broken clouds
553,Kantabanji,IN,20.4833,82.9167,77.45,82,94,5.48,overcast clouds
554,Nicolas Bravo,MX,18.45,-88.9167,90.48,46,82,4.99,broken clouds
555,Cortland,US,42.6001,-76.083,82.67,57,1,9.22,clear sky
556,Simbahan,PH,6.3032,120.5836,82.71,80,39,11.77,scattered clouds
557,Senneterre,CA,48.3835,-77.2328,75.42,63,38,8.39,scattered clouds
558,Viedma,AR,-40.8135,-62.9967,46.13,49,35,8.52,scattered clouds
559,Pacific Grove,US,36.6177,-121.9166,91.29,78,20,5.99,few clouds
560,Xinzhi,CN,36.4989,111.7047,76.8,73,88,3.44,overcast clouds
561,Marang,MY,5.2056,103.2059,80.51,85,71,3.76,moderate rain
562,College,US,64.8569,-147.8028,68.58,54,75,8.05,broken clouds
563,Springbok,ZA,-29.6643,17.8865,53.55,31,100,12.06,overcast clouds
564,Barauna,BR,-5.08,-37.6167,78.57,72,88,6.64,overcast clouds
565,Sao Felix Do Xingu,BR,-6.6447,-51.995,80.26,40,69,2.33,broken clouds
566,Inirida,CO,3.8653,-67.9239,77.38,93,100,2.59,overcast clouds
567,Souillac,MU,-20.5167,57.5167,70.18,60,20,8.05,few clouds
568,Moba,CN,33.2288,105.0179,62.92,93,80,4.92,broken clouds
569,Makat,KZ,47.6469,53.3463,79.18,29,0,16.08,clear sky
570,Dalaba,GN,10.7,-12.25,63.36,99,100,3.02,moderate rain
571,Poum,NC,-20.2333,164.0167,72.91,74,4,18.41,clear sky
572,Fryanovo,RU,56.1333,38.45,61.12,58,96,2.98,overcast clouds
573,Shiyan,CN,32.6475,110.7781,77.41,90,0,2.91,clear sky
574,Gryazi,RU,52.4966,39.9359,62.22,57,76,5.37,broken clouds
575,Port Keats,AU,-14.25,129.55,68.95,57,79,5.86,broken clouds
576,Yebaishou,CN,41.3975,119.6408,69.96,88,97,4.7,overcast clouds
577,Jutai,BR,-5.1833,-68.9,82.29,69,89,2.37,overcast clouds
578,Najran,SA,17.4924,44.1277,84.85,38,88,1.03,overcast clouds
579,Saltillo,MX,25.4167,-101.0,86.47,27,8,13.47,clear sky
580,Lagoa,PT,39.05,-27.9833,69.42,83,79,12.26,broken clouds
581,Kapuskasing,CA,49.4169,-82.4331,78.89,53,75,10.36,smoke
582,Walvis Bay,NA,-22.9575,14.5053,72.55,18,31,18.41,scattered clouds
583,Maypangdan,PH,11.6519,125.4503,78.82,82,61,5.44,broken clouds
584,Mesetas,CO,3.3846,-74.0442,75.81,87,79,2.08,broken clouds
585,Sibolga,ID,1.7427,98.7792,76.51,82,53,2.66,broken clouds
586,Awjilah,LY,29.1081,21.2869,83.17,33,0,13.98,clear sky
587,Belaya Gora,RU,68.5333,146.4167,51.76,48,8,11.83,clear sky
588,Marsh Harbour,BS,26.5412,-77.0636,83.05,73,96,11.1,overcast clouds
589,Burnie,AU,-41.0667,145.9167,47.91,89,48,6.38,scattered clouds
590,Flin Flon,CA,54.7682,-101.865,66.04,63,40,5.75,scattered clouds
591,Puerto Madero,MX,14.7208,-92.4215,91.6,58,75,9.22,broken clouds
592,Yeppoon,AU,-23.1333,150.7333,42.58,47,2,5.44,clear sky
593,Bandundu,CD,-3.3167,17.3667,78.42,33,90,3.0,overcast clouds
594,Noyabrsk,RU,63.1994,75.4507,48.11,93,100,17.98,moderate rain
595,Arlit,NE,18.7369,7.3853,99.79,14,61,12.1,broken clouds
596,Rock Falls,US,41.7798,-89.689,87.8,48,1,8.05,clear sky
597,Soyo,AO,-6.1349,12.3689,71.28,90,70,5.93,broken clouds
598,Minbu,MM,20.1833,94.8833,80.11,80,100,6.82,overcast clouds
599,Margate,GB,51.3813,1.3862,64.69,91,59,1.01,broken clouds
600,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,64.99,82,0,4.47,clear sky
601,Kasama,ZM,-10.2129,31.1808,45.09,77,1,4.5,clear sky
602,Cochrane,CA,51.1834,-114.4687,83.43,34,20,10.36,few clouds
603,Lazaro Cardenas,MX,17.9583,-102.2,85.95,73,17,10.33,few clouds
604,Hervey Bay,AU,-25.2986,152.8535,57.04,60,4,12.44,clear sky
605,Namatanai,PG,-3.6667,152.4333,80.06,81,93,1.97,light rain
606,Polyarnyy,RU,69.1989,33.4478,45.07,80,96,17.22,overcast clouds
607,Belmonte,BR,-15.8631,-38.8828,68.5,86,68,9.8,broken clouds
608,Qarqin,AF,37.4185,66.0436,89.64,14,0,8.63,clear sky
609,Gberia Fotombu,SL,9.8833,-11.1667,69.8,99,100,5.82,overcast clouds
610,Gloucester,GB,51.8657,-2.2431,68.22,72,100,4.43,overcast clouds
611,Watertown,US,42.3709,-71.1828,76.69,85,90,1.01,overcast clouds
612,Assiniboia,CA,49.6334,-105.9845,89.51,17,11,12.66,few clouds
613,Argentan,FR,48.75,-0.0167,63.32,98,61,6.38,broken clouds
614,Hofn,IS,64.2539,-15.2082,52.57,91,100,16.84,overcast clouds
615,Fairbanks,US,64.8378,-147.7164,69.03,53,75,3.0,broken clouds
616,Apiai,BR,-24.5094,-48.8425,57.31,59,1,3.44,clear sky
617,Kang,BW,-23.6752,22.7876,43.66,52,2,8.68,clear sky
618,Nobeoka,JP,32.5833,131.6667,76.77,90,100,5.7,overcast clouds
619,Ust-Maya,RU,60.4167,134.5333,65.05,69,6,5.06,clear sky
620,Willowick,US,41.6331,-81.4687,88.09,65,20,1.01,few clouds
621,Araouane,ML,18.9048,-3.5265,99.23,26,23,4.9,few clouds
622,Ormara,PK,25.2088,64.6357,82.0,84,100,11.54,overcast clouds
623,Herat,AF,34.5,62.0,85.1,13,2,28.63,clear sky
624,Usinsk,RU,65.9939,57.5281,43.7,89,93,9.53,overcast clouds
625,Torquay,GB,50.4638,-3.5143,66.58,43,79,4.59,broken clouds
626,Osakarovka,KZ,50.565,72.5692,61.09,85,8,10.42,clear sky
627,North Bend,US,43.4065,-124.2243,81.25,74,40,26.46,fog
628,Svetlogorsk,BY,52.6333,29.7333,63.88,74,32,5.37,scattered clouds
629,Elko,US,41.0002,-115.5012,99.73,7,17,5.01,few clouds
630,Havelock,US,34.8791,-76.9013,87.06,73,40,7.0,scattered clouds
631,Prince George,CA,53.9166,-122.753,64.26,68,1,1.01,clear sky
632,Sola,VU,-13.8833,167.55,79.47,89,75,0.0,broken clouds
633,Redmond,US,47.674,-122.1215,88.34,48,10,1.99,clear sky
634,Kushmurun,KZ,52.4503,64.6311,59.5,82,13,9.4,few clouds
635,Nabire,ID,-3.3667,135.4833,76.03,85,100,4.25,overcast clouds
636,Luorong,CN,24.4058,109.6086,78.37,82,16,2.51,few clouds
637,Buala,SB,-8.145,159.5921,82.09,79,31,7.25,scattered clouds
638,Freeport,US,40.6576,-73.5832,87.33,78,20,8.01,few clouds
639,Progreso,MX,21.2833,-89.6667,93.11,68,97,10.65,overcast clouds
640,Mehran,IR,33.1222,46.1646,101.68,14,0,12.44,clear sky
641,Makakilo City,US,21.3469,-158.0858,88.12,60,75,10.36,broken clouds
642,Morondava,MG,-20.2833,44.2833,69.6,57,22,14.09,few clouds
643,Benavente,ES,42.0025,-5.6783,60.91,59,100,13.42,overcast clouds
644,Sabha,LY,27.0377,14.4283,82.33,23,0,11.41,clear sky
645,Tateyama,JP,34.9833,139.8667,78.82,80,86,10.78,overcast clouds
646,Turukhansk,RU,65.8167,87.9833,63.34,76,34,1.95,scattered clouds
647,Kamaishi,JP,39.2667,141.8833,73.09,77,57,7.7,broken clouds
648,Olgod,DK,55.8068,8.6286,68.36,76,60,8.61,broken clouds
649,Lomovka,RU,53.9194,58.3672,54.52,80,0,2.39,clear sky
650,Shaowu,CN,27.3409,117.4831,75.96,94,100,4.21,overcast clouds
651,Mint Hill,US,35.1796,-80.6473,89.55,63,20,3.44,few clouds
652,Ketchikan,US,55.3422,-131.6461,61.27,67,90,8.05,light rain
653,Itaituba,BR,-4.2761,-55.9836,93.36,49,20,5.75,few clouds
654,Corinto,GR,37.9407,22.9573,80.89,43,0,2.75,clear sky
655,Abdanan,IR,32.9926,47.4198,90.12,17,51,12.33,broken clouds
656,Raga,SS,8.4596,25.678,70.39,98,100,3.04,light rain
657,Boyuibe,BO,-20.4167,-63.2833,93.11,38,15,4.56,few clouds
658,San Nicola,IT,40.6116,8.991,79.57,58,90,3.4,overcast clouds
659,Omsukchan,RU,62.5333,155.8,53.56,98,100,6.4,overcast clouds
660,Ixtapa,MX,20.7,-105.2,89.22,66,40,13.8,scattered clouds
661,Chupa,RU,66.27,33.0549,56.61,84,98,7.0,overcast clouds
662,Artyom,AZ,40.4723,50.333,80.74,73,0,28.23,clear sky
663,Praya,CV,14.9215,-23.5087,77.54,65,40,13.8,scattered clouds
664,Stabat,ID,3.761,98.4513,74.43,97,84,2.39,broken clouds
665,Bosobolo,CD,4.1833,19.9,72.32,84,96,2.71,overcast clouds
666,San Quintin,MX,30.4833,-115.95,68.58,82,100,5.57,overcast clouds
667,Codo,BR,-4.4553,-43.8856,79.45,50,58,1.3,broken clouds
668,Isla Aguada,MX,18.7833,-91.4667,87.84,72,94,15.55,overcast clouds
669,Priargunsk,RU,50.3691,119.1012,57.56,92,8,5.03,clear sky
670,Beyneu,KZ,45.3167,55.2,86.27,19,64,13.69,broken clouds
671,Yantal,RU,56.8471,105.2542,61.0,72,47,2.46,scattered clouds
672,Bairiki,KI,1.3292,172.9752,78.8,89,75,1.14,broken clouds
673,Sheridan,US,44.8333,-106.9173,100.02,18,1,3.0,clear sky
674,Lancaster,US,40.2504,-76.2499,90.75,66,1,1.01,clear sky
675,Udachnyy,RU,66.4167,112.4,72.45,56,56,11.61,broken clouds
676,Santa Marinella,IT,42.0345,11.8536,87.28,69,69,17.36,broken clouds
677,Roswell,US,34.0232,-84.3616,91.38,64,20,1.99,few clouds
678,Chiang Rai,TH,19.9167,99.9167,75.18,100,75,0.0,light rain
679,De Aar,ZA,-30.6497,24.0123,42.08,28,85,6.04,overcast clouds
680,Huangmei,CN,30.1924,116.025,76.48,85,81,3.94,broken clouds
681,Pangody,RU,65.85,74.4859,48.45,80,100,9.31,overcast clouds
682,Lubumbashi,CD,-11.6609,27.4794,54.46,49,2,7.99,clear sky
683,Dalby,AU,-27.1833,151.2667,32.7,67,61,8.55,broken clouds
684,Denpasar,ID,-8.65,115.2167,73.06,88,40,1.14,scattered clouds
685,Bondowoso,ID,-7.9135,113.8214,68.83,49,2,0.85,clear sky
686,Naryan-Mar,RU,67.6713,53.087,38.98,93,32,13.22,scattered clouds
